,0
Publisher_Nintendo,0.29111508
Genre_Role-Playing,0.04650647
Publisher_Enix Corporation,0.045664202
EU_Sales,0.044829413
Platform_DS,0.043351334
NA_Sales,0.043207932
Platform_NES,0.03981226
Publisher_SquareSoft,0.037199534
Platform_SNES,0.03303273
Genre_Misc,0.033000987
Year,0.02300882
Genre_Platform,0.017750757
Platform_Wii,0.015538241
Platform_GB,0.015327569
Publisher_Capcom,0.015283479
Publisher_Square Enix,0.0147090005
Platform_PS2,0.012526671
Name_Dragon Quest VIII: Journey of the Cursed King,0.01246111
Genre_Shooter,0.009652379
Publisher_Namco Bandai Games,0.009488465
Publisher_ASCII Entertainment,0.0072646476
Publisher_Konami Digital Entertainment,0.007060426
Platform_PC,0.00673332
Publisher_Level 5,0.005801683
Name_Monster Hunter Freedom 2,0.0054989685
Name_Rhythm Heaven,0.00547277
Genre_Strategy,0.005419346
Publisher_Sony Computer Entertainment,0.0053025745
Platform_2600,0.005236707
Genre_Simulation,0.0051200525
Genre_Sports,0.0049109003
Name_Resident Evil 2,0.004586058
Publisher_Banpresto,0.004122731
Name_Popeye,0.0038605947
Genre_Action,0.0037975365
Platform_SAT,0.0036374438
Name_Dynasty Warriors 4,0.0035905407
Name_The Elder Scrolls V: Skyrim,0.0035298825
Name_Final Fantasy II,0.003505709
Name_Final Fantasy III,0.0034652192
Name_Dragon Quest Monsters 2,0.0034146341
Name_Monster Hunter Tri,0.0033749344
Platform_X360,0.0031776347
Name_Fallout 4,0.0031125126
Genre_Fighting,0.0029921378
Name_Resident Evil 3: Nemesis,0.002946502
Name_Dragon Warrior III,0.0029252963
Name_Golf,0.002842994
Platform_3DS,0.0027514219
Name_PaRappa The Rapper,0.0025302728
Name_Super Mario Bros.,0.0024822156
Publisher_Sega,0.0024507167
Platform_PSP,0.002415677
Publisher_Tecmo Koei,0.0022987803
Platform_PS3,0.0022967132
Name_Samurai Warriors,0.00227792
Name_Derby Stallion,0.0022708979
Name_Dragon Quest V: Tenkuu no Hanayome,0.002053655
Name_Dragon Quest X,0.001963384
Name_Dynasty Warriors 3,0.0019587302
Name_Resident Evil,0.00195
Name_Dr. Mario,0.0019168005
Name_Tales of Destiny,0.0018352034
Name_Super Mario 64,0.0018092514
Platform_PS,0.001789935
Name_Inazuma Eleven 3,0.0017781027
Publisher_Ubisoft Annecy,0.0017361671
Name_Pro Yakyuu Family Stadium,0.0017044176
Platform_N64,0.0016644171
Name_Dynasty Warriors 5,0.0016562713
Name_Dragon Ball Z: Budokai Tenkaichi 3,0.0016238387
Name_Diablo III,0.0016159297
Name_Resident Evil 5,0.001579303
Name_Baseball,0.0015371037
Publisher_Square,0.0014850829
Publisher_Aruze Corp,0.001465106
Name_Ridge Racer,0.0014460192
Name_Tennis,0.0014381926
Name_Tetris,0.0013498769
Platform_DC,0.0013353997
Publisher_Hudson Soft,0.0013272483
Name_Mortal Kombat 3,0.0012573628
Platform_GEN,0.0012230222
Name_Super Mario World 2: Yoshi's Island,0.0011920535
Name_Tales of Destiny 2,0.0011839676
Publisher_Sammy Corporation,0.0011737075
Publisher_ChunSoft,0.0011733976
Name_LEGO City Undercover,0.0011547001
Name_Tetris Attack,0.0011238568
Publisher_IE Institute,0.0011004298
Publisher_Atari,0.0010002305
Genre_Racing,0.0002473297
Name_Sonic the Hedgehog,0.00018110758
Name_Pac-Man,2.257673e-05
Name_Dead or Alive 5,2.003896e-06
Name_MTX Mototrax,0.0
Name_X-Men: Destiny,0.0
Name_X-Men Origins: Wolverine,0.0
Name_Yakuza Zero: The Place of Oath,0.0
Name_Monster Hunter G,0.0
Name_Armored Core 4,0.0
Name_SBK Superbike World Championship,0.0
Name_Disney's Planes,0.0
Name_Spy Hunter 2,0.0
Name_Nickelodeon Party Blast,0.0
Name_Avatar: The Last Airbender - Into the Inferno,0.0
Name_Birds of Steel,0.0
Name_Ultimate Band,0.0
Name_The Mummy: Tomb of the Dragon Emperor,0.0
Name_Kung Fu Panda 2,0.0
Name_Spider-Man: Edge of Time,0.0
Name_Wayne Gretzky's 3D Hockey '98,0.0
Name_College Hoops 2K6,0.0
Name_Scrabble,0.0
Name_F1 2014,0.0
Name_Walt Disney's The Jungle Book: Rhythm N'Groove,0.0
Name_Dora the Explorer: Journey to the Purple Planet,0.0
Name_TOCA Race Driver 2: Ultimate Racing Simulator,0.0
Name_Romance of the Three Kingdoms II,0.0
Name_NHL 08,0.0
Name_The Powerpuff Girls: Chemical X-Traction,0.0
Name_Nickelodeon Dance,0.0
Name_Penny Racers,0.0
Name_World Series Baseball 2K3,0.0
Name_Pro Yakyuu Team o Tsukurou!,0.0
Name_Scooby-Doo! Unmasked,0.0
Name_X-Men: Next Dimension,0.0
Name_Mega Man X Collection,0.0
Name_Ashes Cricket 2009,0.0
Name_Pictionary: Ultimate Edition,0.0
Name_DiRT Showdown,0.0
Name_Divinity II: Ego Draconis,0.0
Name_4x4 EVO 2,0.0
Name_Risen 2: Dark Waters,0.0
Name_G.I. Joe: The Rise of Cobra,0.0
Name_Tony Hawk's Downhill Jam,0.0
Name_Sesame Street: Elmo's Number Journey,0.0
Name_Alone in the Dark,0.0
Name_Afro Samurai,0.0
Name_The Walking Dead: Season Two,0.0
Name_Wallace & Gromit in Project Zoo,0.0
Name_The Smurfs 2,0.0
Name_Hotel for Dogs,0.0
Name_World Series Baseball,0.0
Name_Test Drive: Eve of Destruction,0.0
Name_Dynasty Warriors: Gundam Reborn,0.0
Name_Jeremy McGrath Supercross World,0.0
Name_M&M's Kart Racing,0.0
Name_Rock Band Track Pack: Classic Rock,0.0
Name_The Scorpion King: Rise of the Akkadian,0.0
Name_Tony Hawk's American Sk8land,0.0
Name_NCAA College Basketball 2K3,0.0
Name_LEGO Ninjago: Shadow of Ronin,0.0
Name_Rock Band Track Pack Volume 2,0.0
Name_Command & Conquer 3: Kane's Wrath,0.0
Name_Britney's Dance Beat,0.0
Name_Vexx,0.0
Name_Pro Yaky? Spirits 2011,0.0
Name_TimeSplitters: Future Perfect,0.0
Name_Pure Futbol,0.0
Name_Atelier Meruru: Alchemist of Arland 3,0.0
Name_Bass Pro Shops: The Hunt,0.0
Name_Rock Band Track Pack Volume 1,0.0
Name_Star Trek: The Game,0.0
Name_Super Monkey Ball Deluxe,0.0
Name_Dancing With The Stars,0.0
Name_Summon Night 3,0.0
Name_Pro Yaky? Spirits 2010,0.0
Name_PDC World Championship Darts 2008,0.0
Name_The Lord of the Rings: Aragorn's Quest,0.0
Name_Paws & Claws: Pet Resort,0.0
Name_Grand Slam Tennis 2,0.0
Name_The Price is Right 2010 Edition,0.0
Name_Monster Jam,0.0
Name_Jikkyou Powerful Pro Yakyuu 15,0.0
Name_Hunted: The Demon's Forge,0.0
Name_NPPL: Championship Paintball 2009,0.0
Name_Legendary,0.0
Name_Tak and the Guardians of Gross,0.0
Name_Metal Gear Solid HD Edition,0.0
Name_NFL Blitz 20-02,0.0
Name_Shadows of the Damned,0.0
Name_Dragon Quest Heroes II: Twin Kings and the Prophecy's End,0.0
Name_UEFA Euro 2016,0.0
Name_NHL Hitz 20-03,0.0
Name_iCarly 2: iJoin The Click!,0.0
Name_Puyo Puyo! 15th Anniversary,0.0
Name_AC/DC LIVE: Rock Band Track Pack,0.0
Name_NCAA Basketball 09,0.0
Name_NickToons: Racing,0.0
Name_Marvel Super Hero Squad: The Infinity Gauntlet,0.0
Name_Myst III: Exile,0.0
Name_Cabela's Trophy Bucks,0.0
Name_How to Train Your Dragon 2,0.0
Name_Zumba Fitness: World Party,0.0
Name_Divinity: Original Sin,0.0
Name_Hatsune Miku: Project Diva f,0.0
Name_Pro Race Driver,0.0
Name_The Club,0.0
Name_Dead or Alive,0.0
Name_Backyard Wrestling 2: There Goes the Neighborhood,0.0
Name_Hot Wheels: Track Attack,0.0
Name_Driver: Parallel Lines,0.0
Name_Rayman 3: Hoodlum Havoc,0.0
Name_Psi-Ops: The Mindgate Conspiracy,0.0
Name_NASCAR 08,0.0
Name_El Shaddai: Ascension of the Metatron,0.0
Name_Family Guy: Back to the Multiverse,0.0
Name_Warriors Orochi 2,0.0
Name_Monster 4x4: Masters of Metal,0.0
Name_Tigger's Honey Hunt,0.0
Name_One Piece: Burning Blood,0.0
Name_R: Racing Evolution,0.0
Name_Pro Evolution Soccer 2017,0.0
Name_The King of Fighters '95,0.0
Name_Dead to Rights: Retribution,0.0
Name_Jackass the Game,0.0
Name_Dark Sector,0.0
Name_Carol Vorderman's Sudoku,0.0
Name_MX SuperFly featuring Ricky Carmichael,0.0
Name_Army of Two: The Devil's Cartel,0.0
Name_Mission: Impossible - Operation Surma,0.0
Name_Rocky: Legends,0.0
Name_MotionSports: Adrenaline,0.0
Name_Samurai Warriors 4,0.0
Name_Prison Break: The Conspiracy,0.0
Name_Atelier Ayesha: The Alchemist of Dusk,0.0
Name_NBA 07,0.0
Name_All-Pro Football 2K8,0.0
Name_Battlestations: Midway,0.0
Name_Gundam Breaker,0.0
Name_Create,0.0
Name_Danganronpa 2: Goodbye Despair,0.0
Name_Tom Clancy's Rainbow Six: Rogue Spear,0.0
Name_MLB SlugFest 2006,0.0
Name_Ford Racing 3,0.0
Name_Sherlock Holmes: Crimes & Punishments,0.0
Name_Jikkyou Powerful Pro Yakyuu 2013,0.0
Name_Tom and Jerry in War of the Whiskers,0.0
Name_Jikkyou Powerful Pro Yakyuu 2011,0.0
Name_Armorines: Project S.W.A.R.M.,0.0
Name_NCAA March Madness 08,0.0
Name_Evolution Skateboarding,0.0
Name_Yakuza: Ishin,0.0
Name_The Testament of Sherlock Holmes,0.0
Name_Game of Thrones,0.0
Name_Don King Boxing,0.0
Name_Bass Pro Shops: The Strike,0.0
Name_And1 Streetball,0.0
Name_Scene It? Twilight,0.0
Name_BloodRayne 2,0.0
Name_Reader Rabbit Kindergarten,0.0
Name_Shadow Man,0.0
Name_MotoGP,0.0
Name_Rock Revolution,0.0
Name_Etrian Odyssey II: Heroes of Lagaard,0.0
Name_XGIII: Extreme G Racing,0.0
Name_Section 8,0.0
Name_F1 2016 (Codemasters),0.0
Name_Dora the Explorer: Dora Saves the Crystal Kingdom,0.0
